00:12:31.356 | Thread 3 | GENERISANJE I UPIS U KES ZA primer1
00:12:31.360 | Thread 3 |  DOBIJA primer1.csv ZA 949 ms
00:12:31.860 | Thread 6 | GENERISANJE I UPIS U KES ZA primer5
00:12:31.860 | Thread 6 |  DOBIJA primer5.csv ZA 1321 ms
00:12:32.366 | Thread 5 | OBNAVLJANJE KESA ZA primer1
00:12:32.366 | Thread 5 |  DOBIJA primer1.csv ZA 1698 ms
00:12:32.878 | Thread 11 | GENERISANJE I UPIS U KES ZA primer2
00:12:32.878 | Thread 4 | KES HIT ZA primer2
00:12:32.878 | Thread 3 | KES HIT ZA primer2
00:12:32.878 | Thread 11 |  DOBIJA primer2.csv ZA 2082 ms
00:12:32.878 | Thread 4 |  DOBIJA primer2.csv ZA 1953 ms
00:12:32.881 | Thread 3 |  DOBIJA primer2.csv ZA 1518 ms
00:13:03.165 | Thread 6 | OBNAVLJANJE KESA ZA primer2
00:13:03.165 | Thread 6 |  DOBIJA primer2.csv ZA 505 ms
00:13:18.675 | Thread 5 | OBNAVLJANJE KESA ZA primer2
00:13:18.677 | Thread 5 |  DOBIJA primer2.csv ZA 517 ms
00:14:26.190 | Thread 11 | GENERISANJE I UPIS U KES ZA primer3
00:14:26.190 | Thread 11 |  DOBIJA primer3.csv ZA 507 ms
00:14:31.691 | Thread 4 | GENERISANJE I UPIS U KES ZA primer4
00:14:31.691 | Thread 4 |  DOBIJA primer4.csv ZA 519 ms
00:14:46.968 | Thread 1 | SERVER PREOPTERECEN
00:14:46.999 | Thread 1 | SERVER PREOPTERECEN
00:14:47.012 | Thread 1 | SERVER PREOPTERECEN
00:14:47.032 | Thread 1 | SERVER PREOPTERECEN
00:14:47.054 | Thread 1 | SERVER PREOPTERECEN
00:14:47.070 | Thread 1 | SERVER PREOPTERECEN
00:14:47.081 | Thread 1 | SERVER PREOPTERECEN
00:14:47.091 | Thread 1 | SERVER PREOPTERECEN
00:14:47.095 | Thread 1 | SERVER PREOPTERECEN
00:14:47.107 | Thread 1 | SERVER PREOPTERECEN
00:14:47.121 | Thread 1 | SERVER PREOPTERECEN
00:14:47.137 | Thread 1 | SERVER PREOPTERECEN
00:14:47.154 | Thread 1 | SERVER PREOPTERECEN
00:14:47.156 | Thread 1 | SERVER PREOPTERECEN
00:14:47.161 | Thread 1 | SERVER PREOPTERECEN
00:14:47.169 | Thread 1 | SERVER PREOPTERECEN
00:14:47.179 | Thread 1 | SERVER PREOPTERECEN
00:14:47.187 | Thread 1 | SERVER PREOPTERECEN
00:14:47.193 | Thread 1 | SERVER PREOPTERECEN
00:14:47.197 | Thread 1 | SERVER PREOPTERECEN
00:14:47.201 | Thread 1 | SERVER PREOPTERECEN
00:14:47.203 | Thread 1 | SERVER PREOPTERECEN
00:14:47.207 | Thread 1 | SERVER PREOPTERECEN
00:14:47.215 | Thread 1 | SERVER PREOPTERECEN
00:14:47.217 | Thread 1 | SERVER PREOPTERECEN
00:14:47.221 | Thread 1 | SERVER PREOPTERECEN
00:14:47.222 | Thread 1 | SERVER PREOPTERECEN
00:14:47.228 | Thread 1 | SERVER PREOPTERECEN
00:14:47.228 | Thread 1 | SERVER PREOPTERECEN
00:14:47.228 | Thread 1 | SERVER PREOPTERECEN
00:14:47.235 | Thread 1 | SERVER PREOPTERECEN
00:14:47.237 | Thread 1 | SERVER PREOPTERECEN
00:14:47.244 | Thread 1 | SERVER PREOPTERECEN
00:14:47.246 | Thread 1 | SERVER PREOPTERECEN
00:14:47.246 | Thread 1 | SERVER PREOPTERECEN
00:14:47.248 | Thread 1 | SERVER PREOPTERECEN
00:14:47.250 | Thread 1 | SERVER PREOPTERECEN
00:14:47.250 | Thread 1 | SERVER PREOPTERECEN
00:14:47.252 | Thread 1 | SERVER PREOPTERECEN
00:14:47.252 | Thread 1 | SERVER PREOPTERECEN
00:14:47.254 | Thread 1 | SERVER PREOPTERECEN
00:14:47.254 | Thread 1 | SERVER PREOPTERECEN
00:14:47.256 | Thread 1 | SERVER PREOPTERECEN
00:14:47.258 | Thread 1 | SERVER PREOPTERECEN
00:14:47.444 | Thread 3 | OBNAVLJANJE KESA ZA primer3
00:14:47.444 | Thread 5 | KES HIT ZA primer3
00:14:47.444 | Thread 3 |  DOBIJA primer3.csv ZA 508 ms
00:14:47.444 | Thread 5 |  DOBIJA primer3.csv ZA 508 ms
00:14:47.957 | Thread 6 | OBNAVLJANJE KESA ZA primer5
00:14:47.957 | Thread 11 | KES HIT ZA primer5
00:14:47.958 | Thread 11 |  DOBIJA primer5.csv ZA 1018 ms
00:14:47.958 | Thread 6 |  DOBIJA primer5.csv ZA 1016 ms
00:14:48.463 | Thread 4 | OBNAVLJANJE KESA ZA primer2
00:14:48.463 | Thread 4 |  DOBIJA primer2.csv ZA 1512 ms
00:14:48.980 | Thread 3 | OBNAVLJANJE KESA ZA primer1
00:14:48.980 | Thread 3 |  DOBIJA primer1.csv ZA 1535 ms
